"What is the primary role of an operating system as defined in the text?","An intermediary between a user and computer hardware","A program that only manages application execution","A hardware component that controls the CPU","A tool exclusively for compiling source code","A"
"Which of the following is NOT one of the four main components of a computer system?","Hardware","Operating System","Application Programs","Network Interface","D"
"In the context of an operating system, what is the kernel?","The one program running at all times on the computer","A program that manages user authentication only","The entire set of applications shipped by the vendor","A hardware chip responsible for memory management","A"
"What are the two primary roles of an operating system from a system's point of view?","Resource allocator and control program","User interface and web browser","Compiler and text editor","Database manager and network scheduler","A"
"What is the name of the initial program loaded at power-up or reboot?","Bootstrap program","Kernel","System call","Command interpreter","A"
"Where is the bootstrap program typically stored?","ROM or EPROM (firmware)","Hard disk","Main memory (RAM)","Cache","A"
"What is a trap or exception?","A software-generated interrupt","A hardware failure in the CPU","An interrupt from an I/O device","A security breach attempt","A"
"What is the only large storage medium that the CPU can access directly?","Main memory","Hard disk","Solid-state disk","Magnetic tape","A"
"Which of the following storage types is typically volatile?","Main memory","Hard disks","Solid-state disks","Magnetic tapes","A"
"Storage systems are organized in a hierarchy based on what three characteristics?","Speed, Cost, and Volatility","Size, Weight, and Power Consumption","Manufacturer, Model, and Interface","Read speed, Write speed, and Access time","A"
"What is the process of copying information into a faster storage system temporarily called?","Caching","Interrupting","Polling","Swapping","A"
"What is the purpose of Direct Memory Access (DMA)?","To allow device controllers to transfer data directly to main memory without CPU intervention","To allow the CPU to access the hard disk directly","To manage the storage hierarchy","To execute privileged instructions in user mode","A"
"In which type of multiprocessing does each processor perform all tasks?","Symmetric Multiprocessing","Asymmetric Multiprocessing","Clustered Multiprocessing","Dual-Core Processing","A"
"How do clustered systems typically share storage?","Via a storage-area network (SAN)","Via a common bus","Via direct CPU-to-CPU connection","They do not share storage","A"
"What defines asymmetric clustering?","One machine is in hot-standby mode while the other runs applications","All nodes are running applications and monitoring each other","Each processor is assigned a specific task","All nodes are considered peers","A"
"What is the main goal of multiprogramming?","To keep the CPU busy at all times by organizing jobs","To allow users to interact with each job while it is running","To run multiple operating systems on the same hardware","To connect multiple computers into a cluster","A"
"What technique moves processes in and out of memory to run them when they don't fit completely?","Swapping","Caching","DMA","Polling","A"
"What is the purpose of dual-mode operation (user mode and kernel mode)?","To protect the OS and other system components","To increase the speed of the CPU","To manage multiple users on the same system","To allow for virtualization","A"
"What type of instruction can only be executed in kernel mode?","Privileged instruction","User instruction","System call","API call","A"
"How does a user process transition from user mode to kernel mode?","By making a system call, which causes a trap","By triggering a hardware interrupt","By directly modifying the mode bit","By waiting for the timer to expire","A"
"What hardware mechanism prevents a process from hogging resources or getting stuck in an infinite loop?","Timer","Mode bit","DMA controller","Cache","A"
"What is the difference between a program and a process?","A program is a passive entity, while a process is an active entity (a program in execution)","A program is stored in main memory, a process is stored on disk","A program is single-threaded, a process is multi-threaded","There is no difference; the terms are interchangeable","A"
"Which of the following is an activity of memory management?","Deciding which processes and data to move into and out of memory","Creating and deleting files and directories","Controlling access of processes to resources","Hiding hardware peculiarities from the user","A"
"What logical storage unit does the OS use to abstract the physical properties of information storage?","File","Byte","Block","Cache","A"
"What is spooling, as defined in the I/O subsystem?","The overlapping of output of one job with input of other jobs","Storing data temporarily while it is being transferred","Storing parts of data in faster storage for performance","A mechanism for controlling access to I/O devices","A"
"What is the difference between protection and security?","Protection controls access to resources, while security defends against internal/external attacks","Protection is for hardware, security is for software","Protection is handled by the kernel, security by system programs","Protection involves user IDs, security involves passwords","A"
"What is the search performance of a balanced binary search tree, often used in kernels?","O(lg n)","O(n)","O(n^2)","O(1)","A"
"In which computing model are all nodes considered peers, acting as either clients, servers, or both?","Peer-to-Peer (P2P)","Client-Server","Distributed","Clustered","A"
"When is emulation used in virtualization?","When the source CPU type is different from the target CPU type","When the guest OS is the same as the host OS","When running applications in a cloud environment","When the computer language is compiled to native code","A"
"Cloud computing is described as a logical extension of which other computing environment?","Virtualization","Client-Server","Peer-to-Peer","Mainframe computing","A"
"What is 'Platform as a Service (PaaS)' in cloud computing?","A software stack ready for application use via the Internet (e.g., a database server)","Servers or storage available over the Internet (e.g., backup storage)","One or more applications available via the Internet (e.g., a word processor)","A private cloud run by a company for its own use","A"
"What is 'Infrastructure as a Service (IaaS)' in cloud computing?","Servers or storage available over the Internet (e.g., backup storage)","A software stack ready for application use via the Internet (e.g., a database server)","One or more applications available via the Internet (e.g., a word processor)","A hybrid cloud including both public and private components","A"
"Which of the following is a set of operating-system services helpful to the user?","User interface, Program execution, I/O operations, File-system manipulation","Resource allocation, Accounting, Protection and security","System boot, Debugging, System generation","Kernel-mode operation, Dual-mode operation, Privileged instructions","A"
"What are the two methods of communication between processes mentioned?","Shared memory and message passing","System calls and APIs","CLI and GUI","Sockets and pipes","A"
"Which set of OS functions exists to ensure the efficient operation of the system itself?","Resource allocation, Accounting, Protection and security","Program execution, I/O operations, Error detection","User interface, File-system manipulation, Communications","Compilers, Debuggers, Text editors","A"
"What are the three main types of user interfaces mentioned?","Command-Line (CLI), Graphics User Interface (GUI), and Batch","Touchscreen, Voice, and Mouse-driven","Kernel-level, User-level, and System-level","API, System Call, and Library","A"
"What is another name for a Command-Line Interface (CLI)?","Command interpreter or shell","Graphics User Interface (GUI)","Application Programming Interface (API)","Kernel","A"
"Where was the GUI (desktop metaphor interface) invented?","Xerox PARC","Microsoft","Apple","Bell Labs","A"
"How do most programs access system calls?","Via a high-level Application Programming Interface (API)","By directly writing in assembly language","By using the command-line interface (CLI)","By modifying kernel code","A"
"Which of the following is NOT one of the three most common APIs mentioned?","Win32 API for Windows","POSIX API for UNIX, Linux, and Mac OS X","Java API for the JVM","Cocoa API for Mac OS X","D"
"How is a system call typically identified by the kernel?","A number associated with each system call, used as an index into a table","The name of the function (e.g., 'open()')","The memory address of the calling program","The API used to make the call","A"
"What is the simplest method to pass parameters to the OS during a system call?","Pass the parameters in registers","Store parameters in a block in memory and pass the block address","Push the parameters onto the stack","Store the parameters in a file and pass the file name","A"
"Which method of parameter passing is taken by Linux and Solaris?","Storing parameters in a memory block and passing the address in a register","Passing all parameters in registers","Pushing all parameters onto the stack","Using a dedicated hardware buffer","A"
"Which two parameter passing methods do not limit the number or length of parameters?","The block/table method and the stack method","The register method and the stack method","The register method and the block/table method","None of the above, all have limits","A"
"`create process`, `terminate process`, `load`, and `execute` are all types of which system call category?","Process control","File management","Device management","Protection","A"
"`read`, `write`, `open`, and `close` are system calls related to which two categories?","File management and Device management","Process control and Communications","Information maintenance and Protection","Process control and File management","A"
"What is the primary purpose of system programs?","To provide a convenient environment for program development and execution","To provide the interface to system calls","To implement the OS kernel","To manage the system boot process","A"
"Background services that launch at boot time and run continuously (like 'printing' or 'error logging') are also known as what?","Services, subsystems, or daemons","System calls","APIs","Kernels","A"
"What is the important design principle that separates 'What will be done?' from 'How to do it?'","Separation of policy (what) from mechanism (how)","Dual-mode operation","Layered approach","Microkernel structure","A"
"While early OSes were written in assembly language, what languages are now predominantly used for the main body of an OS?","C and C++","Python and PERL","Java and C#","Assembly and Algol","A"
"Which operating system is given as an example of a 'simple structure' that was not well separated into modules?","MS-DOS","UNIX","Mac OS X","Linux","A"
"In the traditional UNIX structure, what are the two separable parts?","System programs and the kernel","The kernel and the hardware","The shell and the system calls","The file system and the CPU scheduler","A"
"What is the fundamental rule of the 'layered approach' to OS structure?","Each layer can only use functions and services of lower-level layers","Each layer communicates directly with all other layers","The user interface is the bottom layer (layer 0)","All layers run in kernel mode","A"
"What is the main idea behind the microkernel system structure?","Move as much functionality as possible from the kernel into user space","Combine all OS functions into a single, large kernel","Divide the OS into multiple layers","Implement the entire OS in assembly language","A"
"How do user modules communicate in a microkernel architecture?","Through message passing","Through shared memory","By making direct system calls to each other","By writing to a common file","A"
"What is the primary detriment (disadvantage) of the microkernel approach?","Performance overhead from user-to-kernel space communication","It is less secure than a monolithic kernel","It is more difficult to extend","It is less reliable","A"
"What do modern operating systems like Linux and Solaris use to add functionality to the kernel dynamically?","Loadable kernel modules","System programs","Microkernels","A strict layered approach","A"
"Mac OS X is a hybrid system built on what two main components?","A Mach microkernel and BSD Unix parts","A Windows kernel and a Solaris microkernel","An MS-DOS kernel and a layered structure","A Linux kernel and the Aqua UI","A"
"How is the Linux kernel structure described?","Monolithic (in one address space) plus modular for dynamic loading","A pure microkernel","A strict layered system","A hybrid of Windows and UNIX","A"
"Apple's iOS is structured on what other operating system?","Mac OS X","Android","Windows","Linux","A"
"What is the name of the API for developing apps on iOS?","Cocoa Touch","Java API","POSIX API","Android API","A"
"Google's Android operating system is based on what kernel?","A modified Linux kernel","The Mac OS X kernel","A proprietary microkernel","The Windows kernel","A"
"In the Android architecture described, apps are developed in Java and run in what environment?","The Dalvik virtual machine","The Java Virtual Machine (JVM)","A native C++ runtime","The Cocoa Touch layer","A"
"What file is generated by the failure of an application, capturing the memory of the process?","Core dump","Crash dump","Log file","Trace file","A"
"What file is generated by an operating system failure, containing kernel memory?","Crash dump","Core dump","Boot log","Registry file","A"
"What debugging tool, available in Solaris and Mac OS X, allows for live instrumentation on production systems?","DTrace","GDB","Valgrind","Windows Task Manager","A"
"What is the small piece of code stored in ROM or EEPROM that locates and loads the OS kernel into memory?","Bootstrap loader","SYSGEN","DTrace","System call interface","A"
"What common bootstrap loader allows the user to select which kernel to load from multiple disks or versions?","GRUB","MS-DOS","Mach","Dalvik","A"
"According to the storage hierarchy table, what entity is responsible for managing 'main memory'?","The hardware","The compiler","The operating system","The application program","C"
"According to the storage hierarchy table, what entity is responsible for managing the 'cache'?","The hardware","The compiler","The operating system","The user","A"
"What is the general term for the table, referenced by an interrupt, that contains the addresses of all the service routines?","Interrupt vector","System call table","Device-status table","Hash map","A"
"In a synchronous I/O structure, what instruction idles the CPU until the next interrupt?","system call","wait instruction","trap","mode bit switch","B"
"In an asynchronous I/O structure, what mechanism is used to allow the user program to wait for I/O completion?","A system call","A wait loop","A privileged instruction","A hardware interrupt","A"
"What is a 'word' defined as in the text?","8 bits","16 bits","The smallest convenient chunk of storage","A given computer architecture's native unit of data","D"
"A petabyte (PB) is defined as what?","$1,024^{3}$ bytes","$1,024^{4}$ bytes","$1,024^{5}$ bytes","$1,024^{6}$ bytes","C"
"Which of the following is listed as an advantage of multiprocessor systems?","Simple structure","Increased reliability (fault tolerance)","Lower cost","Guaranteed 1-second response time","B"
"In the context of the kernel definition, what is a 'system program'?","Any program running on the computer","The kernel itself","A program that ships with the OS but is not the kernel","An application program","C"
"A multi-threaded process has one program counter per...?","Process","CPU","User","Thread","D"
"What is WORM, in the context of tertiary storage?","Write-once, read-many-times","Write-on, read-mostly","World-of-RAM-memory","Widespread-online-resource-media","A"
"Which kernel data structure is described as 'a string of n binary digits representing the status of n items'?","Hash map","Binary search tree","Bitmap","Circular linked list","C"
"What are 'thin clients' also referred to as?","Mobile computers","Network computers (Web terminals)","Peer-to-peer nodes","Virtual machines","B"
"What is a 'private cloud'?","A cloud available to anyone over the Internet","A cloud that includes both public and private components","A cloud run by a company for its own use","Software as a Service (SaaS)","C"
"What does 'SaaS' stand for in cloud computing?","Storage as a Service","Software as a Service","System as a Service","Security as a Service","B"
